instructor_id,completion_rate,avg_score_improvement,avg_quiz_score,dropout_rate,avg_watch_time,assignment_submission_rate,forum_activity_rate,avg_feedback_score,feedback_response_rate,effectiveness_score,batch_count,tier
I_044,-1.6864387066865265,-1.441985951009987,-1.4324163470672855,1.370652338664032,-0.8177054998360765,-1.1106480079174756,-0.1511255435167619,-1.1300951832383912,-0.9838064795154061,0.37614020539919013,15,Low
I_119,-0.013851401968686838,-0.3282512636125041,0.2598828002664675,0.029968483396860007,-0.011606752296056755,0.09195435959304724,-0.23124068011955923,0.25826898640815976,0.15555090210463002,0.6045160155117534,19,Medium
I_050,-1.6755300473574157,-0.9983873804655555,-1.0014849648991297,1.6373710280942373,-0.5106193568171717,-0.7655969224767714,-0.8867402349054877,-1.1220797172745736,-0.6291464626049713,0.4092691971280973,12,Low
I_024,0.3538179566421515,0.3010227472415294,0.21009160729575785,-0.2580190832552954,0.2695702622545122,0.3542549693043887,0.14808299415427925,0.3262060656064669,0.350790511318153,0.6536029629488638,21,High
I_001,-0.3690234901824159,-0.06898835411881636,0.08826684408538438,0.4651991141949163,-0.06887155610389734,-0.1776001569023706,-0.09687299344755174,0.025305173221612763,-0.27883760120089746,0.5713817771388071,25,Medium
I_026,-0.05012718403867742,-0.10605620171200603,0.03817288380455739,0.12242698287721282,-0.24376740921854098,0.04781171560886433,0.12713767875286672,-0.2528315245687832,0.0023813780841455663,0.5848462646101742,23,Medium
I_082,0.14264074020529285,0.4603467907073327,0.3255343608611487,-0.11555876103556462,0.07895111224856409,0.15738009652381338,-0.048157417713506616,0.25661709770654034,0.41750016100481036,0.6426499543770721,14,High
I_009,0.31889542157870476,-0.009276379326229801,-0.3721986581991696,-0.18794151040219162,-0.22704780076995246,0.14027431817274275,-0.08823799660035647,0.354008475403628,0.13907977123388135,0.6078582097849484,18,Medium
I_114,0.7854949793574956,0.4739003567645759,-0.1507499144595791,-0.6914895285999925,0.24828090906128034,0.44699402035592456,0.0853557067455555,0.9594708994738627,0.40908603337927374,0.681432065530579,13,High
I_038,-1.2992611062663593,-0.6820216444657128,-0.8376224423909882,1.2625626454612198,-0.3320507182397103,-0.28977844374529066,-0.5972190041883554,-0.5880043048917651,-0.3830750034884761,0.4713679133034658,20,Low
I_007,0.6415677742251163,0.7318838387763282,0.21805447108118786,-0.6097198641101139,0.21480663169079753,0.1678744942508123,0.48033937096037227,0.13392239247458487,0.1615625876373417,0.662067724238113,15,High
I_064,-0.24563801296511248,0.28956293509914854,-0.3387499048615281,0.16451316033416732,-0.4415937156539187,-0.04563076549527459,-0.07106211934511254,-0.11754402280511415,0.06939316009490336,0.5752625406899649,15,Medium
I_105,1.6351025551323113,1.1957132239634554,0.7775850113739691,-1.559674197939968,0.6484204909468811,0.47581082604925273,0.6726650702659631,0.7164780418645286,0.6534620691422418,0.7653676230288509,16,High
I_084,0.4624892964744597,0.1587712702251749,0.0649210743133995,-0.4414698600157416,0.3619206886308139,0.14737770436631428,0.039746542800137355,0.09903864680224683,0.14494745641824586,0.6341336708387725,13,High
I_087,1.086791591790477,0.3494987984814726,0.6304086607010708,-1.0472469364422816,0.37619308677264524,0.4314678009065471,0.307325396784269,0.4024812421842092,0.2634097165215551,0.6932825694026407,21,High
I_086,-0.6475990858051985,-0.5544423833053304,-0.270982998530748,0.624712419185958,-0.04383858444133623,-0.016806868198685085,-0.24547749479300754,-0.6094453265566239,-0.004137169260899202,0.5358953068213287,22,Low
I_088,-0.3069061558762956,-0.06028231136454127,-0.15639781797659022,0.19366252106979215,-0.5564396858988269,-0.5597477923511361,0.00292955448538331,0.1344530163315812,-0.3340589890329207,0.5529794936087811,14,Low
I_033,0.17009649868436894,0.27565217398854563,0.4045037979044463,-0.11283780885409725,0.5153593287365054,0.1642854206427683,0.1415839012923717,-0.3082778326518177,0.14077786289466968,0.6298173760619528,26,High
I_032,-0.8264567841376832,-0.5504873139653784,-0.18830596643115313,0.8827674172764737,0.1620027437017197,-0.17659743301874048,-0.1508806432442919,-0.27044397824409616,0.10230106930248614,0.5471394566223288,19,Low
I_117,0.5568294845182841,0.24403150063470483,0.2828711117754371,-0.5063241228897685,0.1153770585543183,0.41236814931915905,0.14784491089626906,0.23545353574213418,-0.15233576229163465,0.6407641302517576,19,High
I_111,0.15318092885023732,0.09676362159668757,0.05369339339100964,-0.07477467092313828,0.240809716744025,0.2682218958074254,-0.05577180690875371,-0.1322053626604127,0.1784411856216373,0.6160592541600987,22,Medium
I_039,-0.27597080818149916,-0.16190777162770728,-0.023012091979963047,0.2296868574575144,-0.2638893438984882,-0.12259841275196647,0.041608193708773264,-0.041306784802077466,-0.01965278239722441,0.5749007790326731,19,Medium
I_100,-0.9647085934474038,-0.4528696785682256,-0.295947043421551,0.9134288636988883,0.08694312062806915,-0.13031851903679764,-0.28503485295507136,0.0008582340397851179,-0.23853247939533653,0.5366209123683338,13,Low
I_018,1.654806468842546,0.9077869519802941,1.0416238133458453,-1.5418444480889788,0.7300852898782718,0.6599106708775053,0.9057884514605938,1.0221706207295482,0.3025418791709539,0.7722970948287587,14,High
I_021,0.40261425175704135,0.3871546676447947,0.7580740912615788,-0.5445565673650253,0.40273578352064593,0.23643690128078113,0.21191000387156986,0.29808585599595566,0.3590879605002578,0.671068420725811,15,High
I_085,0.5504567884413542,0.24014354577617375,0.3023164121609521,-0.5998803356599322,0.2526831462017192,0.16736677349840068,0.09791397179016552,0.2709137584032049,0.30390411074268103,0.6528745183695146,16,High
I_010,2.1167535816023544,1.368094283031946,1.187434682051469,-2.0053335023620615,0.8561371967755631,0.5696639326029957,0.9237505109158325,0.8241836829254385,1.039769063809031,0.8187329512971737,13,High
I_055,0.06515106994573955,0.533964765831103,0.010688419034325054,-0.1829480663795987,0.270559257266167,-0.25823498462383115,0.1695993955812328,0.21011892890867823,0.3884644550908954,0.631338816561736,17,High
I_112,-1.1985819529207102,-0.5830194361674155,-0.12310730021204962,1.186747409525252,0.06856039435531401,-0.054953947166031525,-0.6128370177344504,-0.1873628306973119,-0.5164227584823602,0.5130414180243082,13,Low
I_113,-1.5426822804959162,-1.0747697299719137,-0.6256701482716978,1.4246484609744976,-0.6676825181479772,-0.2651424289492023,-0.42573264364774316,-0.759517757592303,-0.8532993235291143,0.4374997926117026,26,Low
I_047,-0.2643663031996927,-0.3714573305702874,-0.35133698119080825,0.24190076177727726,-0.16981451945450476,0.11356154426627003,-0.34090671241603043,-0.29109156935878117,0.1989941307657376,0.5632379702265641,21,Low
I_090,0.48464030434508776,0.2820211003979114,0.35020089581909475,-0.4668265900720154,0.07226649856341692,-0.1876822606478631,0.3115567223582948,0.31069288807749057,0.29934583722302216,0.6464816103195035,26,High
